# Windows: CP932, iconv: SHIFT_JIS
入力コード	入力バイト列(16進)	Windows_CP932:デコード成功	Windows_CP932:Unicodeコードポイント	Windows_CP932:文字	Windows_CP932:元に戻る	Windows_CP932:再エンコード結果(16進)	iconv:デコード成功	iconv:Unicodeコードポイント	iconv:文字	iconv:元に戻る	iconv:再エンコード結果(16進)	iconv→Windows_CP932:エンコード可能	iconv→Windows_CP932:元に戻る	iconv→Windows_CP932:再エンコード結果(16進)	差分フラグ(ビット値)	差分内容
0x0021	21	1	0x00000021	!	1	21	1	0x00000021	!	1	21	1	1	21	0	差分なし
0x0022	22	1	0x00000022	"	1	22	1	0x00000022	"	1	22	1	1	22	0	差分なし
0x0023	23	1	0x00000023	#	1	23	1	0x00000023	#	1	23	1	1	23	0	差分なし
0x0024	24	1	0x00000024	$	1	24	1	0x00000024	$	1	24	1	1	24	0	差分なし
0x0025	25	1	0x00000025	%	1	25	1	0x00000025	%	1	25	1	1	25	0	差分なし
0x0026	26	1	0x00000026	&	1	26	1	0x00000026	&	1	26	1	1	26	0	差分なし
0x0027	27	1	0x00000027	'	1	27	1	0x00000027	'	1	27	1	1	27	0	差分なし
0x0028	28	1	0x00000028	(	1	28	1	0x00000028	(	1	28	1	1	28	0	差分なし
0x0029	29	1	0x00000029	)	1	29	1	0x00000029	)	1	29	1	1	29	0	差分なし
0x002A	2A	1	0x0000002A	*	1	2A	1	0x0000002A	*	1	2A	1	1	2A	0	差分なし
0x002B	2B	1	0x0000002B	+	1	2B	1	0x0000002B	+	1	2B	1	1	2B	0	差分なし
0x002C	2C	1	0x0000002C	,	1	2C	1	0x0000002C	,	1	2C	1	1	2C	0	差分なし
0x002D	2D	1	0x0000002D	-	1	2D	1	0x0000002D	-	1	2D	1	1	2D	0	差分なし
0x002E	2E	1	0x0000002E	.	1	2E	1	0x0000002E	.	1	2E	1	1	2E	0	差分なし
0x002F	2F	1	0x0000002F	/	1	2F	1	0x0000002F	/	1	2F	1	1	2F	0	差分なし
0x0030	30	1	0x00000030	0	1	30	1	0x00000030	0	1	30	1	1	30	0	差分なし
0x0031	31	1	0x00000031	1	1	31	1	0x00000031	1	1	31	1	1	31	0	差分なし
0x0032	32	1	0x00000032	2	1	32	1	0x00000032	2	1	32	1	1	32	0	差分なし
0x0033	33	1	0x00000033	3	1	33	1	0x00000033	3	1	33	1	1	33	0	差分なし
0x0034	34	1	0x00000034	4	1	34	1	0x00000034	4	1	34	1	1	34	0	差分なし
0x0035	35	1	0x00000035	5	1	35	1	0x00000035	5	1	35	1	1	35	0	差分なし
0x0036	36	1	0x00000036	6	1	36	1	0x00000036	6	1	36	1	1	36	0	差分なし
0x0037	37	1	0x00000037	7	1	37	1	0x00000037	7	1	37	1	1	37	0	差分なし
0x0038	38	1	0x00000038	8	1	38	1	0x00000038	8	1	38	1	1	38	0	差分なし
0x0039	39	1	0x00000039	9	1	39	1	0x00000039	9	1	39	1	1	39	0	差分なし
0x003A	3A	1	0x0000003A	:	1	3A	1	0x0000003A	:	1	3A	1	1	3A	0	差分なし
0x003B	3B	1	0x0000003B	;	1	3B	1	0x0000003B	;	1	3B	1	1	3B	0	差分なし
0x003C	3C	1	0x0000003C	<	1	3C	1	0x0000003C	<	1	3C	1	1	3C	0	差分なし
0x003D	3D	1	0x0000003D	=	1	3D	1	0x0000003D	=	1	3D	1	1	3D	0	差分なし
0x003E	3E	1	0x0000003E	>	1	3E	1	0x0000003E	>	1	3E	1	1	3E	0	差分なし
0x003F	3F	1	0x0000003F	?	1	3F	1	0x0000003F	?	1	3F	1	1	3F	0	差分なし
0x0040	40	1	0x00000040	@	1	40	1	0x00000040	@	1	40	1	1	40	0	差分なし
0x0041	41	1	0x00000041	A	1	41	1	0x00000041	A	1	41	1	1	41	0	差分なし
0x0042	42	1	0x00000042	B	1	42	1	0x00000042	B	1	42	1	1	42	0	差分なし
0x0043	43	1	0x00000043	C	1	43	1	0x00000043	C	1	43	1	1	43	0	差分なし
0x0044	44	1	0x00000044	D	1	44	1	0x00000044	D	1	44	1	1	44	0	差分なし
0x0045	45	1	0x00000045	E	1	45	1	0x00000045	E	1	45	1	1	45	0	差分なし
0x0046	46	1	0x00000046	F	1	46	1	0x00000046	F	1	46	1	1	46	0	差分なし
0x0047	47	1	0x00000047	G	1	47	1	0x00000047	G	1	47	1	1	47	0	差分なし
0x0048	48	1	0x00000048	H	1	48	1	0x00000048	H	1	48	1	1	48	0	差分なし
0x0049	49	1	0x00000049	I	1	49	1	0x00000049	I	1	49	1	1	49	0	差分なし
0x004A	4A	1	0x0000004A	J	1	4A	1	0x0000004A	J	1	4A	1	1	4A	0	差分なし
0x004B	4B	1	0x0000004B	K	1	4B	1	0x0000004B	K	1	4B	1	1	4B	0	差分なし
0x004C	4C	1	0x0000004C	L	1	4C	1	0x0000004C	L	1	4C	1	1	4C	0	差分なし
0x004D	4D	1	0x0000004D	M	1	4D	1	0x0000004D	M	1	4D	1	1	4D	0	差分なし
0x004E	4E	1	0x0000004E	N	1	4E	1	0x0000004E	N	1	4E	1	1	4E	0	差分なし
0x004F	4F	1	0x0000004F	O	1	4F	1	0x0000004F	O	1	4F	1	1	4F	0	差分なし
0x0050	50	1	0x00000050	P	1	50	1	0x00000050	P	1	50	1	1	50	0	差分なし
0x0051	51	1	0x00000051	Q	1	51	1	0x00000051	Q	1	51	1	1	51	0	差分なし
0x0052	52	1	0x00000052	R	1	52	1	0x00000052	R	1	52	1	1	52	0	差分なし
0x0053	53	1	0x00000053	S	1	53	1	0x00000053	S	1	53	1	1	53	0	差分なし
0x0054	54	1	0x00000054	T	1	54	1	0x00000054	T	1	54	1	1	54	0	差分なし
0x0055	55	1	0x00000055	U	1	55	1	0x00000055	U	1	55	1	1	55	0	差分なし
0x0056	56	1	0x00000056	V	1	56	1	0x00000056	V	1	56	1	1	56	0	差分なし
0x0057	57	1	0x00000057	W	1	57	1	0x00000057	W	1	57	1	1	57	0	差分なし
0x0058	58	1	0x00000058	X	1	58	1	0x00000058	X	1	58	1	1	58	0	差分なし
0x0059	59	1	0x00000059	Y	1	59	1	0x00000059	Y	1	59	1	1	59	0	差分なし
0x005A	5A	1	0x0000005A	Z	1	5A	1	0x0000005A	Z	1	5A	1	1	5A	0	差分なし
0x005B	5B	1	0x0000005B	[	1	5B	1	0x0000005B	[	1	5B	1	1	5B	0	差分なし
0x005C	5C	1	0x0000005C	\	1	5C	1	0x000000A5	¥	1	5C	0	0		2	Unicode差
0x005D	5D	1	0x0000005D	]	1	5D	1	0x0000005D	]	1	5D	1	1	5D	0	差分なし
0x005E	5E	1	0x0000005E	^	1	5E	1	0x0000005E	^	1	5E	1	1	5E	0	差分なし
0x005F	5F	1	0x0000005F	_	1	5F	1	0x0000005F	_	1	5F	1	1	5F	0	差分なし
0x0060	60	1	0x00000060	`	1	60	1	0x00000060	`	1	60	1	1	60	0	差分なし
0x0061	61	1	0x00000061	a	1	61	1	0x00000061	a	1	61	1	1	61	0	差分なし
0x0062	62	1	0x00000062	b	1	62	1	0x00000062	b	1	62	1	1	62	0	差分なし
0x0063	63	1	0x00000063	c	1	63	1	0x00000063	c	1	63	1	1	63	0	差分なし
0x0064	64	1	0x00000064	d	1	64	1	0x00000064	d	1	64	1	1	64	0	差分なし
0x0065	65	1	0x00000065	e	1	65	1	0x00000065	e	1	65	1	1	65	0	差分なし
0x0066	66	1	0x00000066	f	1	66	1	0x00000066	f	1	66	1	1	66	0	差分なし
0x0067	67	1	0x00000067	g	1	67	1	0x00000067	g	1	67	1	1	67	0	差分なし
0x0068	68	1	0x00000068	h	1	68	1	0x00000068	h	1	68	1	1	68	0	差分なし
0x0069	69	1	0x00000069	i	1	69	1	0x00000069	i	1	69	1	1	69	0	差分なし
0x006A	6A	1	0x0000006A	j	1	6A	1	0x0000006A	j	1	6A	1	1	6A	0	差分なし
0x006B	6B	1	0x0000006B	k	1	6B	1	0x0000006B	k	1	6B	1	1	6B	0	差分なし
0x006C	6C	1	0x0000006C	l	1	6C	1	0x0000006C	l	1	6C	1	1	6C	0	差分なし
0x006D	6D	1	0x0000006D	m	1	6D	1	0x0000006D	m	1	6D	1	1	6D	0	差分なし
0x006E	6E	1	0x0000006E	n	1	6E	1	0x0000006E	n	1	6E	1	1	6E	0	差分なし
0x006F	6F	1	0x0000006F	o	1	6F	1	0x0000006F	o	1	6F	1	1	6F	0	差分なし
0x0070	70	1	0x00000070	p	1	70	1	0x00000070	p	1	70	1	1	70	0	差分なし
0x0071	71	1	0x00000071	q	1	71	1	0x00000071	q	1	71	1	1	71	0	差分なし
0x0072	72	1	0x00000072	r	1	72	1	0x00000072	r	1	72	1	1	72	0	差分なし
0x0073	73	1	0x00000073	s	1	73	1	0x00000073	s	1	73	1	1	73	0	差分なし
0x0074	74	1	0x00000074	t	1	74	1	0x00000074	t	1	74	1	1	74	0	差分なし
0x0075	75	1	0x00000075	u	1	75	1	0x00000075	u	1	75	1	1	75	0	差分なし
0x0076	76	1	0x00000076	v	1	76	1	0x00000076	v	1	76	1	1	76	0	差分なし
0x0077	77	1	0x00000077	w	1	77	1	0x00000077	w	1	77	1	1	77	0	差分なし
0x0078	78	1	0x00000078	x	1	78	1	0x00000078	x	1	78	1	1	78	0	差分なし
0x0079	79	1	0x00000079	y	1	79	1	0x00000079	y	1	79	1	1	79	0	差分なし
0x007A	7A	1	0x0000007A	z	1	7A	1	0x0000007A	z	1	7A	1	1	7A	0	差分なし
0x007B	7B	1	0x0000007B	{	1	7B	1	0x0000007B	{	1	7B	1	1	7B	0	差分なし
0x007C	7C	1	0x0000007C	|	1	7C	1	0x0000007C	|	1	7C	1	1	7C	0	差分なし
0x007D	7D	1	0x0000007D	}	1	7D	1	0x0000007D	}	1	7D	1	1	7D	0	差分なし
0x007E	7E	1	0x0000007E	~	1	7E	1	0x0000203E	‾	1	7E	0	0		2	Unicode差
0x007F	7F	1	0x0000007F		1	7F	1	0x0000007F		1	7F	1	1	7F	0	差分なし
0x0080	80	1	0x00000080		1	80	0	0x00000000		0		0	0		5	デコード可否差|元に戻る差
0x0081	81	0	0x00000000		0		0	0x00000000		0		0	0		0	差分なし
0x0082	82	0	0x00000000		0		0	0x00000000		0		0	0		0	差分なし
0x0083	83	0	0x00000000		0		0	0x00000000		0		0	0		0	差分なし
0x0084	84	0	0x00000000		0		0	0x00000000		0		0	0		0	差分なし
0x0085	85	0	0x00000000		0		0	0x00000000		0		0	0		0	差分なし
0x0086	86	0	0x00000000		0		0	0x00000000		0		0	0		0	差分なし
0x0087	87	0	0x00000000		0		0	0x00000000		0		0	0		0	差分なし
0x0088	88	0	0x00000000		0		0	0x00000000		0		0	0		0	差分なし
0x0089	89	0	0x00000000		0		0	0x00000000		0		0	0		0	差分なし
0x008A	8A	0	0x00000000		0		0	0x00000000		0		0	0		0	差分なし
0x008B	8B	0	0x00000000		0		0	0x00000000		0		0	0		0	差分なし
0x008C	8C	0	0x00000000		0		0	0x00000000		0		0	0		0	差分なし
0x008D	8D	0	0x00000000		0		0	0x00000000		0		0	0		0	差分なし
0x008E	8E	0	0x00000000		0		0	0x00000000		0		0	0		0	差分なし
0x008F	8F	0	0x00000000		0		0	0x00000000		0		0	0		0	差分なし
0x0090	90	0	0x00000000		0		0	0x00000000		0		0	0		0	差分なし
0x0091	91	0	0x00000000		0		0	0x00000000		0		0	0		0	差分なし
0x0092	92	0	0x00000000		0		0	0x00000000		0		0	0		0	差分なし
0x0093	93	0	0x00000000		0		0	0x00000000		0		0	0		0	差分なし
0x0094	94	0	0x00000000		0		0	0x00000000		0		0	0		0	差分なし
0x0095	95	0	0x00000000		0		0	0x00000000		0		0	0		0	差分なし
0x0096	96	0	0x00000000		0		0	0x00000000		0		0	0		0	差分なし
0x0097	97	0	0x00000000		0		0	0x00000000		0		0	0		0	差分なし
0x0098	98	0	0x00000000		0		0	0x00000000		0		0	0		0	差分なし
0x0099	99	0	0x00000000		0		0	0x00000000		0		0	0		0	差分なし
0x009A	9A	0	0x00000000		0		0	0x00000000		0		0	0		0	差分なし
0x009B	9B	0	0x00000000		0		0	0x00000000		0		0	0		0	差分なし
0x009C	9C	0	0x00000000		0		0	0x00000000		0		0	0		0	差分なし
0x009D	9D	0	0x00000000		0		0	0x00000000		0		0	0		0	差分なし
0x009E	9E	0	0x00000000		0		0	0x00000000		0		0	0		0	差分なし
0x009F	9F	0	0x00000000		0		0	0x00000000		0		0	0		0	差分なし
0x00A0	A0	0	0x00000000		0		0	0x00000000		0		0	0		0	差分なし
0x00A1	A1	1	0x0000FF61	｡	1	A1	1	0x0000FF61	｡	1	A1	1	1	A1	0	差分なし
0x00A2	A2	1	0x0000FF62	｢	1	A2	1	0x0000FF62	｢	1	A2	1	1	A2	0	差分なし
0x00A3	A3	1	0x0000FF63	｣	1	A3	1	0x0000FF63	｣	1	A3	1	1	A3	0	差分なし
0x00A4	A4	1	0x0000FF64	､	1	A4	1	0x0000FF64	､	1	A4	1	1	A4	0	差分なし
0x00A5	A5	1	0x0000FF65	･	1	A5	1	0x0000FF65	･	1	A5	1	1	A5	0	差分なし
0x00A6	A6	1	0x0000FF66	ｦ	1	A6	1	0x0000FF66	ｦ	1	A6	1	1	A6	0	差分なし
0x00A7	A7	1	0x0000FF67	ｧ	1	A7	1	0x0000FF67	ｧ	1	A7	1	1	A7	0	差分なし
0x00A8	A8	1	0x0000FF68	ｨ	1	A8	1	0x0000FF68	ｨ	1	A8	1	1	A8	0	差分なし
0x00A9	A9	1	0x0000FF69	ｩ	1	A9	1	0x0000FF69	ｩ	1	A9	1	1	A9	0	差分なし
0x00AA	AA	1	0x0000FF6A	ｪ	1	AA	1	0x0000FF6A	ｪ	1	AA	1	1	AA	0	差分なし
0x00AB	AB	1	0x0000FF6B	ｫ	1	AB	1	0x0000FF6B	ｫ	1	AB	1	1	AB	0	差分なし
0x00AC	AC	1	0x0000FF6C	ｬ	1	AC	1	0x0000FF6C	ｬ	1	AC	1	1	AC	0	差分なし
0x00AD	AD	1	0x0000FF6D	ｭ	1	AD	1	0x0000FF6D	ｭ	1	AD	1	1	AD	0	差分なし
0x00AE	AE	1	0x0000FF6E	ｮ	1	AE	1	0x0000FF6E	ｮ	1	AE	1	1	AE	0	差分なし
0x00AF	AF	1	0x0000FF6F	ｯ	1	AF	1	0x0000FF6F	ｯ	1	AF	1	1	AF	0	差分なし
0x00B0	B0	1	0x0000FF70	ｰ	1	B0	1	0x0000FF70	ｰ	1	B0	1	1	B0	0	差分なし
0x00B1	B1	1	0x0000FF71	ｱ	1	B1	1	0x0000FF71	ｱ	1	B1	1	1	B1	0	差分なし
0x00B2	B2	1	0x0000FF72	ｲ	1	B2	1	0x0000FF72	ｲ	1	B2	1	1	B2	0	差分なし
0x00B3	B3	1	0x0000FF73	ｳ	1	B3	1	0x0000FF73	ｳ	1	B3	1	1	B3	0	差分なし
0x00B4	B4	1	0x0000FF74	ｴ	1	B4	1	0x0000FF74	ｴ	1	B4	1	1	B4	0	差分なし
0x00B5	B5	1	0x0000FF75	ｵ	1	B5	1	0x0000FF75	ｵ	1	B5	1	1	B5	0	差分なし
0x00B6	B6	1	0x0000FF76	ｶ	1	B6	1	0x0000FF76	ｶ	1	B6	1	1	B6	0	差分なし
0x00B7	B7	1	0x0000FF77	ｷ	1	B7	1	0x0000FF77	ｷ	1	B7	1	1	B7	0	差分なし
0x00B8	B8	1	0x0000FF78	ｸ	1	B8	1	0x0000FF78	ｸ	1	B8	1	1	B8	0	差分なし
0x00B9	B9	1	0x0000FF79	ｹ	1	B9	1	0x0000FF79	ｹ	1	B9	1	1	B9	0	差分なし
0x00BA	BA	1	0x0000FF7A	ｺ	1	BA	1	0x0000FF7A	ｺ	1	BA	1	1	BA	0	差分なし
